id,movie,youtube_notEmbed,youtube,release_date,,Plot
0,Top Gun: Maverick,https://youtu.be/giXco2jaZ_4,https://www.youtube.com/embed/giXco2jaZ_4,"May 27, 2022",,"Over thirty years after graduating from TOPGUN,[b] United States Navy Captain Pete ""Maverick"" Mitchell is a test pilot. While he has won many honors, repeated insubordination has kept him from flag rank.[c] His friend and former TOPGUN rival, Tom ""Iceman"" Kazansky, is now commander of the U.S. Pacific Fleet and has often protected Maverick from being grounded. Rear Admiral Chester ""Hammer"" Cain cancels Maverick's ""Darkstar"" scramjet program in favor of funding drones. Before he can officially do so, Maverick sets a new flight plan to push into high-hypersonic speed, accomplishing the program's goal. The prototype is destroyed, however, when he pushes beyond Mach 10. Hammer cannot punish Maverick, as Iceman again saves his career by ordering him to NAS North Island for his next assignment, but warns that the era of manned fighter aircraft will soon end.

The Navy has been tasked with destroying an unsanctioned uranium enrichment plant, which sits in a deep depression at the end of a canyon. It is defended by SA-3 Goa surface-to-air missiles (SAMs) and what appear to be fifth-generation Sukhoi Su-57[d] fighters. Maverick devises a plan to attack with two pairs of F/A-18E/F Super Hornets. Although he wants to fly the mission, Maverick's job is to train an elite group of TOPGUN graduates assembled by air boss Vice Admiral Beau ""Cyclone"" Simpson, who dislikes Maverick's unorthodox methods.

Maverick out-dogfights his skeptical students to demonstrate that very low-altitude precision flying, not high-altitude attacks, is necessary. Lieutenants Jake ""Hangman"" Seresin and Bradley ""Rooster"" Bradshaw—son of Maverick's late best friend and RIO Nick ""Goose"" Bradshaw—clash; Rooster dislikes Hangman's cavalier attitude, while Hangman criticizes Rooster's cautious flying. Maverick reunites with former girlfriend Penny Benjamin, to whom he reveals that Rooster's now-dead mother made him promise that Rooster would not become a pilot. Rooster, unaware of the promise, resents Maverick for impeding his military career and blames him for his father's death.

While teaching teamwork and convincing students that the mission is viable, Maverick fears Rooster may be right about Goose's death. He is reluctant to further interfere with Rooster's career but also does not want to send him on the very dangerous mission. Maverick relays his doubts to Iceman, who has throat cancer; before dying he reassures him that ""the Navy needs Maverick"". With his protector gone, Cyclone removes Maverick as instructor and relaxes the mission parameters, which are easier to accomplish but make escape much more difficult. During Cyclone's announcement, Maverick makes an unauthorized flight through the training course with his preferred parameters, proving that it can be done. Cyclone reluctantly appoints Maverick as team leader.

Maverick flies the lead F/A-18E in the strike package, buddy lasing for an F/A-18F flown by Lieutenant Natasha ""Phoenix"" Trace and WSO Lieutenant Robert ""Bob"" Floyd. Rooster will lead the second strike pair, which includes Lieutenant Reuben ""Payback"" Fitch and WSO Lieutenant Mickey ""Fanboy"" Garcia. After the four jets launch from USS Theodore Roosevelt, guided missile cruiser USS Leyte Gulf fires Tomahawk cruise missiles to destroy the nearby air base. The team successfully destroys the plant but engage SAMs during their escape. Rooster runs out of countermeasures, and Maverick sacrifices his jet to protect Rooster. Believing Maverick to be killed, the others are ordered back to the carrier. Rooster returns to find Maverick safely ejected and being targeted by an Mi-24 gunship. After destroying the gunship, he is shot down by a SAM and ejects. The two rendezvous and steal an F-14 Tomcat from the destroyed air base. Maverick and Rooster manage to destroy two Su-57s, but a third arrives as they run out of ammunition and countermeasures. Hangman, arriving from standby, shoots down the Su-57 and the planes return to the carrier.

Later, Maverick and Rooster work together on a P-51 Mustang. Rooster looks at a photo of their mission's success, pinned alongside a photo of his late father and a young Maverick, as Penny and Maverick fly off into the sunset in the Mustang."
1,Everything Everywhere All at Once,https://youtu.be/wxN1T1uxQ2g,https://www.youtube.com/embed/wxN1T1uxQ2g,"Mar 25, 2022",,"Part 1: Everything
Evelyn Quan Wang is a Chinese-American woman who runs a struggling laundromat with her husband, Waymond. Tensions are high due to the laundromat being audited by the IRS. Additionally, Waymond is trying to give Evelyn divorce papers; Evelyn's demanding father, Gong Gong,[a] has just arrived from Hong Kong; and Evelyn's daughter, Joy, has been trying to get her mother to accept her girlfriend, Becky.

While at the IRS building for a meeting with IRS inspector Deirdre Beaubeirdre, Waymond's personality changes when his body is briefly taken over by Alpha Waymond, a version of Waymond from a universe he calls the ""Alphaverse"". Alpha Waymond explains to Evelyn that many parallel universes exist, since every choice made creates a new universe. The people of the Alphaverse, led by the late Alpha Evelyn, developed ""verse-jumping"" technology that allows people to access the skills, memories, and body of their parallel universe counterparts by fulfilling specific conditions. The multiverse is being threatened by Jobu Tupaki, formerly Alpha Joy. Her mind was splintered after Alpha Evelyn pushed her to extensively verse-jump; Jobu Tupaki now experiences all universes at once and can verse-jump and manipulate matter at will. With her godlike power she has created a black hole-like ""everything bagel""[b] that can potentially destroy the multiverse.

Evelyn is given verse-jumping technology to fight Jobu Tupaki's verse-jumping minions, who begin converging in the IRS building. Evelyn learns of Waymond's plans to divorce her and discovers other lives where she made different choices and flourished, such as by becoming a kung fu master and movie star instead of leaving China with Waymond, who becomes a successful businessman. Alpha Waymond comes to believe that Evelyn, as the greatest failure of all Evelyns of the multiverse, has the untapped potential to defeat Jobu Tupaki. Alpha Gong Gong instructs Evelyn to kill Joy to hinder Jobu Tupaki, but Evelyn refuses. She decides she must face Jobu Tupaki by gaining the same powers as her, so she verse-jumps repeatedly while battling Jobu Tupaki's minions and Alpha Gong Gong's soldiers. After the battle, Alpha Waymond is killed by Jobu Tupaki in the Alphaverse and Evelyn's mind overloads.

Part 2: Everywhere
Evelyn's mind splinters and she discovers other, bizarre universes, including one in which humans have hot dogs for fingers and she is in a romantic relationship with Deirdre, and another where she works alongside a teppanyaki chef who is secretly puppeteered by a raccoon. She learns that Jobu Tupaki created the everything bagel not to destroy everything, but to destroy herself, and has been searching for an Evelyn who can understand her. Jobu Tupaki feels that because there are so many vast universes and unending chaos, nothing truly matters.

In other universes, the Wangs are about to lose the laundromat due to tax errors, and businessman Waymond rejects movie star Evelyn after decades apart. Evelyn is nearly swayed to Jobu Tupaki's cause and stabs her universe's Waymond. She almost joins Jobu Tupaki in entering the bagel, but stops when she hears Waymond's calls to be kind and have hope. Evelyn defeats Alpha Gong Gong and Jobu Tupaki's fighters by using her multiverse knowledge to find what is hurting each of them and gives them happiness. Evelyn reaches Jobu Tupaki and tells her that she is not alone and that Evelyn will always choose to be with her, despite everywhere else she could be. Meanwhile, in a parallel universe, Evelyn confronts Gong Gong and reconciles with Waymond and Joy, and Waymond convinces Deirdre to let the Wangs redo their taxes. Jobu Tupaki initially rejects Evelyn, but returns to her, and they embrace.

Part 3: All at Once
Shortly thereafter, the family's relationships and lives have improved; Becky is now regarded as a part of the family, Waymond and Evelyn share a brief but romantic moment for the first time in a long while, and they return to the IRS building on a second chance to file their taxes. As Deirdre talks, Evelyn's attention is momentarily drawn to her alternate selves and the multiverse, before she grounds herself back in her home universe."
2,The Batman,https://youtu.be/mqqft2x_Aa4,https://www.youtube.com/embed/mqqft2x_Aa4,"Mar 4, 2022",,"On Halloween, Gotham City mayor Don Mitchell Jr. is murdered by a masked psychopath calling himself the Riddler. Reclusive billionaire Bruce Wayne, who has operated for two years as the vigilante Batman, investigates the murder alongside the Gotham City Police Department (GCPD). Lieutenant James Gordon discovers a message that the Riddler left for Batman. The following night, the Riddler kills commissioner Pete Savage and leaves another message for Batman.

Batman and Gordon discover that the Riddler left a thumb drive in Mitchell's car containing images of Mitchell with a woman, Annika Kosolov, at the Iceberg Lounge—a nightclub operated by the Penguin, mobster Carmine Falcone's lieutenant. While the Penguin pleads ignorance, Batman notices that Selina Kyle, Annika's roommate and lover, works at the club as a waitress. When Annika disappears, Batman sends Selina back to the Iceberg Lounge for answers and discovers that Savage was on Falcone's payroll, as is district attorney Gil Colson.

The Riddler abducts Colson, straps a timed collar bomb to his neck, and sends him to interrupt Mitchell's funeral. When Batman arrives, the Riddler calls him via Colson's phone and threatens to detonate the bomb if Colson cannot answer three riddles. Colson refuses to answer the third—the name of the informant who gave the GCPD information that led to a historic drug bust ending mobster Salvatore Maroni's operation—and dies. Batman and Gordon deduce that the informant may be the Penguin and track him to a drug deal. They discover that Maroni's operation transferred to Falcone, with many corrupt GCPD officers involved. Selina inadvertently exposes them when she arrives to steal money and discovers Annika's corpse in a car trunk. After a car chase, Batman captures the Penguin but learns he is not the informant.

Batman and Gordon follow the Riddler's trail to the ruins of an orphanage funded by Bruce's murdered parents, Thomas and Martha Wayne, where they learn that the Riddler holds a grudge against the Wayne family. Bruce's butler and caretaker, Alfred Pennyworth, is hospitalized after opening a letter bomb addressed to Bruce. The Riddler leaks evidence that Thomas, who was running for mayor before he was murdered, hired Falcone to kill a journalist for threatening to reveal details about Martha and her family's history of mental illness. Bruce, who grew up believing his father was morally upstanding, confronts Alfred, who maintains that Thomas only asked Falcone to threaten the journalist into silence; Thomas planned to turn himself and Falcone over to the police once he found out Falcone murdered the journalist instead. Alfred believes that Falcone had Thomas and Martha killed to prevent this.

Selina reveals to Batman that Falcone is her neglectful father. She decides to kill him after learning that he strangled Annika because Mitchell told her that Falcone was the informant. Batman and Gordon arrive in time to stop her, but the Riddler kills Falcone as he is being arrested. The Riddler is unmasked as forensic accountant Edward Nashton and is incarcerated in Arkham State Hospital, where he tells Batman he took inspiration from him when targeting the corrupt. Batman learns that Nashton has stationed car bombs around Gotham and cultivated an online following that plans to assassinate mayor-elect Bella Reál.

The bombs destroy the seawall around Gotham and flood the city. Nashton's followers attempt to kill Reál but are stopped by Batman and Selina. In the aftermath, Nashton befriends another inmate,[a] while Selina deems Gotham beyond saving and leaves. Batman aids recovery efforts and vows to inspire hope in Gotham."
3,Hustle,https://youtu.be/nM4iy0reaCA,https://www.youtube.com/embed/nM4iy0reaCA,"Jun 8, 2022",,"Stanley Sugerman, a jaded international scout for the Philadelphia 76ers of the NBA, lives life on the road searching for future stars. His frequent travel takes a toll on his wife Teresa and daughter Alex. While he is liked by 76ers owner Rex Merrick, he clashes with Rex's son Vincent. Rex promotes Stanley to assistant coach, allowing him to remain at home with his family. The same evening, however, Rex dies, leaving Vince in charge.

Three months later, Vince demotes Stanley again to scout, sending him overseas to find a new star. Meeting with his former college teammate Leon Rich, he encourages him to leave the 76ers and also become a player agent. When Stanley's plan to scout another player in Spain falls through, watching a local pick-up game, he is stunned by an incredibly talented unknown player.

Stanley attempts to speak with the man, Bo Cruz, but is rebuffed until he makes a Facetime call to Dirk Nowitzki to prove his legitimacy. Bo and his mother Paola recount his life story: he was a talented player from an early age and was invited to play in America at age 15, but stayed in Spain after his girlfriend became pregnant with his daughter Lucia. Bo now works construction and makes extra money hustling at basketball.

After an impressive workout with members of the Spanish national team, Stanley urges the 76ers front office to sign Cruz immediately, but Vincent is unconvinced. Taking matters into his own hands, he pays to bring Cruz to the US, telling him he will be signed by the Sixers or enter the NBA draft. At the airport, Bo is detained for an aggravated assault conviction he received in Spain. He is released, but warned that he could be deported if he were to be arrested in America.

Stanley takes Bo to play at a showcase organized by Leon, which is also attended by the presumptive second overall pick Kermit Wilts. Stanley advises Bo that if he shuts down Wilts, it will significantly raise his stock with the Sixers. During the workout, Cruz shows flashes of talent, but struggles on offense and at guarding Wilts, who trash talks him and throws him off his game.

When Vince passes on Bo, Stanley quits the 76ers to prepare Cruz for the NBA Draft Combine six weeks away. Telling Bo his only weakness is his sensitivity, he builds on his mental toughness. Teresa and Alex assist with the training by preparing meals and taping workouts. Bo improves dramatically through Stanley's coaching, but Leon can't get him into the Draft Combine after Vince spreads information about Bo's assault charge.

Furious at Stanley, Bo eventually reveals the charge stemmed from a fight with Lucia's mother's boyfriend after she tried to claim sole custody of Lucia. Stanley admits his injured hand was from a drunk driving accident while in college, derailing his basketball team's season and putting him in jail for six months. Their trust renewed, Stanley works tirelessly to get Bo into the combine, without success.

To create interest, the Sugermans enlist Julius Erving to create a viral video of ""the Boa Challenge"", where people, including 76ers player Tobias Harris, attempt to score on Bo for money. Cruz is eventually accepted into the combine, and Stanley flies Lucia and Paola to the US to support him. Bo impresses in the physical elements of the combine, but faces off with Wilts again in a five-on-five exhibition game. He initially performs well, but Kermit begins talking trash about Bo's daughter and mother, so he eventually breaks, pushing Wilts down, and storming out.

Both Stanley and Bo think their journey is over. At the airport for Bo's flight back to Spain, Leon calls about a private game for players and front office members that Bo and Kermit have both been invited to. Playing without pressure, Cruz locks down Wilts defensively and demonstrates his offensive abilities. Rex's daughter Kat, who recognizes Stanley's talent, reveals she is taking over from Vince and rehires him as an assistant coach.

Five months later, the 76ers and Boston Celtics tip off for a game against each other with Stanley now the assistant coach of the 76ers and Bo playing for the Boston Celtics."
4,The Northman,https://youtu.be/oMSdFM12hOw,https://www.youtube.com/embed/oMSdFM12hOw,"Apr 22, 2022",,"In AD 895, King Aurvandill returns to the island of Hrafnsey after his overseas conquests, reuniting with his wife, Queen Gudrún, and his heir, Prince Amleth. To prepare Amleth for his eventual ascension, the two participate in a spiritual ceremony overseen by Aurvandill's jester, Heimir. The next morning, Aurvandill's bastard brother Fjölnir murders the king, raids his hillfort and carries away Gudrún. Amleth flees by boat, swearing vengeance.

Years later, Amleth lives as a berserker with a band of Vikings. After an attack in Gardariki, Amleth encounters a Seeress in the temple of Svetovit; the Seeress predicts that Amleth will soon take revenge on Fjölnir, and that his path is intertwined with a Maiden-King. Amleth learns that Fjölnir was overthrown by Harald of Norway and lives in exile in Iceland. Posing as a slave, Amleth sneaks aboard a ship. He encounters a Slavic woman named Olga, who claims to be a sorceress. They are taken to Fjölnir's farm, where he learns his mother has married Fjölnir and bore him a son named Gunnar.

One night, Amleth encounters a magician who facilitates a spiritual dialogue between Amleth and the late Heimir, revealed to have been murdered by Fjölnir. He then tells Amleth about Draugr, a magical sword at the Gates of Hel. Amleth enters a mound and obtains the blade after fighting the undead Mound Dweller. He hides it upon return to the farm. The next day, Amleth is selected to compete in a game of knattleikr against another farm. The game turns violent and Gunnar is almost killed, but Amleth saves him. As a reward, Fjölnir's adult son, Thorir, grants him overseer duties and allows him to choose a woman.

During the evening celebrations, Amleth and Olga make love; they promise to overcome Fjölnir together. Amleth kills several of Fjölnir's men, and Olga mixes their food with fly agaric, a potent hallucinogen. The ensuing chaos and the suspicion that the Christian slaves are behind the killings allows Amleth to enter Fjölnir's house. He meets his mother, who reveals that she was originally taken into slavery and that Amleth's conception was the result of rape. She reveals that she wanted Aurvandill and Amleth dead; she tries but fails to seduce Amleth. Enraged, Amleth kills Thorir and steals his heart.

Gudrún reveals Amleth's true identity to Fjölnir, and calls for him to kill him. Fjölnir threatens to kill Olga, but Amleth offers to trade Olga's life for Thorir's heart. After a severe beating, Amleth is released from his restraints by a flock of ravens. Olga rescues Amleth and the two escape by boat. Amleth has a vision and discovers that Olga is pregnant with twins, one of whom will become the Maiden-King prophesied by the Seeress. Fearing that his children will never be safe, Amleth decides to kill his uncle and jumps overboard, despite Olga's pleas.

Back at the farm, Amleth frees the slaves and kills most of Fjölnir's men. While searching for Fjölnir, Amleth is attacked by his mother and drives Draugr through her heart. Gunnar attacks Amleth, stabbing him repeatedly in the back before Amleth kills him. Fjölnir, discovering his wife and son dead, tells Amleth to meet him at the Gates of Hel—the crater of the volcano Hekla—to resolve the conflict via holmgang. At the volcano, Amleth and Fjölnir engage in a fierce swordfight; Fjölnir is decapitated, and Amleth is fatally wounded. As Amleth lies dying, he has a future vision of Olga embracing their twin children, before a valkyrie appears to carry him through the gates of Valhöll (Valhalla)."
5,Doctor Strange in the Multiverse of Madness,https://youtu.be/aWzlQ2N6qqg,https://www.youtube.com/embed/aWzlQ2N6qqg,"May 6, 2022",,"America Chavez and a version of Stephen Strange are chased by a demon in the space between universes while searching for the Book of Vishanti. That Strange is killed and Chavez accidentally creates a portal that transports herself and Strange's corpse to Earth-616,[N 1] where that universe's version of Strange rescues Chavez from another demon[N 2] with help from the Sorcerer Supreme, Wong. Chavez explains that the beings are hunting her because she has the power to travel through the multiverse.

Recognizing witchcraft runes, Strange consults Wanda Maximoff for help but realizes that she is responsible for the attacks. After acquiring the Darkhold and becoming the Scarlet Witch, Maximoff believes that controlling Chavez's powers will allow her to reunite with Billy and Tommy, the children she created during her time in Westview.[N 3] When Strange refuses to surrender Chavez, Maximoff attacks Kamar-Taj, killing many sorcerers. Chavez accidentally transports herself and Strange to Earth-838 while Maximoff uses the Darkhold to ""dreamwalk"", taking control of her Earth-838 counterpart, who lives a suburban life with her own Billy and Tommy. A surviving sorceress sacrifices herself to destroy the Darkhold and break the dreamwalk. Enraged, Maximoff forces Wong to lead her to Mount Wundagore, the source of the Darkhold's power, to reestablish the dreamwalk.

While searching for help, Strange and Chavez are apprehended by Earth-838's Sorcerer Supreme, Karl Mordo, and brought before the Illuminati, a group consisting of Mordo, Peggy Carter, Blackagar Boltagon, Maria Rambeau, Reed Richards, and Charles Xavier. They explain that through reckless use of their universe's Darkhold in an attempt to defeat Thanos, Earth-838's Strange triggered a universe-destroying ""incursion"". After defeating Thanos, the Illuminati executed their Strange to prevent him from causing more harm. Mordo believes that Earth-616's Strange is similarly dangerous, but Maximoff reestablishes her dreamwalk at Mount Wundagore and arrives in her Earth-838 counterpart's body before they can pass judgment. She kills all of the Illuminati except Mordo, whom Strange subdues before fleeing with Chavez. The two escape with help from the Earth-838 counterpart of Strange's ex-fiancé, Christine Palmer, a scientist working with the Illuminati.

Strange, Chavez, and Palmer enter the space between universes to find the Book of Vishanti, which is the antithesis to the Darkhold, but Maximoff appears and destroys it. She then takes over Chavez's mind, using her powers to send the others to an incursion-destroyed universe. Strange defeats the destroyed universe's Strange, who has been corrupted by his universe's Darkhold, and uses it to dreamwalk into the body of his deceased counterpart on Earth-616. With Wong's help, Strange saves Chavez from Maximoff as she tries to take Chavez's powers, and encourages Chavez to use her abilities. She transports Maximoff to Earth-838, where she sees Billy and Tommy recoil from her in fear while crying for their real mother. Realizing the error of her ways, Maximoff relents and uses her powers to bring down Mount Wundagore, simultaneously destroying all copies of the Darkhold throughout the multiverse and apparently sacrificing herself in the process. Chavez returns Strange and Palmer to their respective universes.

Sometime later, Kamar-Taj is repaired and the surviving sorcerers, joined by Chavez, continue training. Strange develops a third eye as a result of using the Darkhold and dreamwalking into a corpse. In a mid-credits scene, Strange is approached by a sorceress[N 4] who warns him that his actions have triggered an incursion that he must help fix. Strange follows her into the Dark Dimension."
6,Apollo 10 1/2: A Space Age Adventure,https://youtu.be/Dzuz5s_Qk-A,https://www.youtube.com/embed/Dzuz5s_Qk-A,"Apr 1, 2022",,"The film tells the story of the first moon landing in the summer of 1969 from two interwoven perspectives. It captures both the astronaut and mission control view of the triumphant moment, and the lesser-seen bottom up perspective of what it was like from an excited kid's perspective, living near NASA but mostly watching it on TV like hundreds of millions of others. It's ultimately both an exacting re-creation of this special moment in history and a kid's fantasy about being plucked from his average life in suburbia to secretly train for a covert mission to the moon."
7,The Unbearable Weight of Massive Talent,https://youtu.be/x2YHPZMj8r4,https://www.youtube.com/embed/x2YHPZMj8r4,"Apr 22, 2022",,"Hollywood actor Nicolas Cage is struggling with his career after being passed over for several major film roles and is constantly pestered and tormented by ""Nicky"", who appears to him as his younger (and more successful) self. His relationship with his ex-wife Olivia and daughter Addy is also marred by years of emotional neglect. Following an embarrassing and humiliating event at Addy's birthday party and losing a key film role, Cage plans to retire from acting. He decides to accept a vague offer of $1 million from his agent Richard Fink that involves going to Majorca to meet billionaire playboy Javi Gutierrez and to be the guest of honor at his birthday.

Upon meeting Javi, Cage is initially annoyed by his neediness and insistence that they create an improvisational movie based on a script he wrote, but is soon inspired by Javi's determination, and the two of them quickly bond over their surprisingly shared love of films such as The Cabinet of Dr. Caligari and Paddington 2 (the latter of which Cage watches for the first time with Javi). Soon after, Cage is confronted by CIA agents Vivian and Martin. They suspect that Javi, who they claim made his fortune through arms dealing, is behind the kidnapping of Maria, the daughter of a Catalan anti-crime politician, with the hope that he will drop out of an upcoming election. Despite his insistence otherwise, Cage decides to help the CIA with the mission.

After successfully rigging the cameras in Javi's compound, Cage attends a party where he announces his collaboration with Javi on a new movie, as an excuse to stay on the compound long enough to find Maria. After a misadventure involving LSD, Cage discovers that Javi keeps a shrine room dedicated to all of his movies, including a wax figure of his character Castor Troy from the film Face/Off, complete with identical golden guns. Cage finds it difficult to betray Javi, but Vivian convinces him to work the kidnapping into their script so that he could potentially reveal where Maria is.

Cage explains his new idea to Javi, who believes that Cage is creatively bankrupt, and possibly has issues he needs to work out. Javi brings Olivia and Addy to his villa from Los Angeles; they are frightened and angered over what is happening. Cage tries to make amends with them, but they reject his appeal and accuse him of prioritizing his film career over his family. Javi privately goes to meet with his cousin Lucas, who is revealed to be the true arms dealer and the one who kidnapped Maria. Lucas warns him that Cage is working with the CIA and pressures him to kill Cage, or else Lucas will kill Javi. Cage begins to rethink his friendship.

Cage and Javi have a stand-off with each other, but neither can bring themselves to kill the other. Lucas sends his men after both of them, and they race back to the house to discover that Addy has been kidnapped. Cage takes Javi, Olivia and Javi's assistant Gabriela to the CIA safe house, only for the house to have been compromised; Martin has been killed, while Vivian sacrifices herself to kill Lucas's men before they can ambush the group. With Javi's help, Cage and Olivia pose as a reclusive criminal couple to get close to Lucas. They manage to locate Addy and Maria but are found out. However, Cage, Addy, Maria and Olivia escape while Javi and Gabriela stay behind to distract Lucas.

Cage, Addy, Olivia and Maria race to the American embassy with Lucas still in pursuit. Upon arrival, Lucas holds Cage at gunpoint, but Addy tosses him a knife which Cage uses to kill him—transitioning into the movie that Cage and Javi completed, presumably based on their adventure. Cage is applauded for his new film and congratulates Javi before going home with his family to watch Paddington 2, now with a better relationship."
8,Chip 'n Dale: Rescue Rangers,https://youtu.be/F4Z0GHWHe60,https://www.youtube.com/embed/F4Z0GHWHe60,"May 20, 2022",,"In a world co-populated by humans and cartoon characters, Chip and Dale meet in elementary school and become best friends. They later relocate to Hollywood and, after casting as extras in commercials and shows, go on to star in the successful television series Chip 'n Dale: Rescue Rangers in the early 1990s. However, when Dale gets his own show, Double-O-Dale, the two have a falling-out that leads to both shows' cancellation.

Thirty years later, Chip is a successful but disillusioned insurance salesman while Dale spends most of his time on the fan convention circuit. The two are contacted by their former Rescue Rangers co-star Monterey Jack, who owes money to the criminal Valley Gang due to his stinky cheese addiction. Monty warns the pair of a trafficking operation where toons are kidnapped, have their appearances altered, and are shipped overseas to produce bootlegs of their works for the rest of their lives. Later that night, the two are informed that Monty has been kidnapped. They meet Police Captain Putty and Officer Ellie Steckler; the latter reveals herself to be a big Rescue Rangers fan, and with the police's hands tied, she suggests Chip and Dale investigate on their own.

Chip and Dale visit Bjornson the Cheesemonger, Monty's cheese dealer, and ask about the Valley Gang. They are taken to the uncanny valley part of town and meet the gang's leader, Sweet Pete—an adult version of Peter Pan—and his henchmen Bob and Jimmy. Realizing they are investigating his bootlegging business, Pete tries to capture the pair, but the chipmunks escape. The two later share their discoveries with Ellie, learning that she is shunned by Putty due to acting on a bad tip and raiding the Nick Jr. studios with negative results. With Ellie's help, the chipmunks sneak into a bathhouse to steal Pete's fitness tracker. They trace his movements to a dock warehouse, though it is already abandoned by the time the police arrive. Inside, they find a large operating machine designed to alter toons' bodies, along with several toon parts, including Monty's mustache.

At the police station, the pair argue over the loss of Monty and their past feud but smell the scent of Monty's cologne. Realizing either Putty or Ellie is working with Sweet Pete, the two flee the station. At the ongoing Fan Con, they try to convince Ugly Sonic to ask his FBI contacts for help, but Pete and his henchmen arrive, having tracked Dale using his social media posts. In the ongoing chase, Bob is restrained and arrested, but Chip is caught by Jimmy and taken to the warehouse. Ellie is also lured there by Putty, revealing he is part of the Valley Gang and has been covering for Pete, including giving Ellie the false Nick Jr. tip.

Sweet Pete has Ellie call Dale to lure him to the warehouse, but Ellie sends a coded message using a Rescue Rangers episode. Dale realizes Ellie is in trouble and contacts former Rescue Rangers co-stars Gadget Hackwrench and Zipper, now married with children, for help. Dale enters the warehouse using a firework, which gets lodged into the machine and stops it before it can be used on Chip. The machine goes haywire, transforming Jimmy into a fairy and Pete into a giant amalgamation of various toons. While Ellie fights and defeats Putty, Pete chases Chip and Dale through the warehouse, revealing it to also be where the bootlegs are filmed. The chipmunks lure Pete to the docks and use a ploy from a Rescue Rangers episode to trap him.

The FBI, led by Ugly Sonic, arrive to arrest the Valley Gang. Sweet Pete fires a cannonball at Chip, but Dale takes the hit. Chip fears Dale is dead and apologizes for his behavior over the years, but Dale reveals he was protected by a golden pog Chip gave him. The chipmunks free all the bootlegged toons, including Monty, and Dale introduces the Rescue Rangers to Ellie, who decides to open her own detective agency. As the team departs, Dale convinces them to film a Rescue Rangers reboot, which is later released to great success."
9,Turning Red,https://youtu.be/XdKzUbAiswE,https://www.youtube.com/embed/XdKzUbAiswE,"Mar 11, 2022",,"In 2002 Toronto, 13-year-old Meilin ""Mei"" Lee, who lives with her parents Ming and Jin, helps take care of the family's temple dedicated to their ancestor Sun Yee and works to make Ming proud. She hides her personal interests from Ming such as the fact that she and her three best friends Miriam Mendelsohn, Priya Mangal, and Abby Park are fans of the boy band 4*Town. One night when Ming, who is strictly overprotective, discovers Mei's crush on Devon, the local convenience store clerk, she inadvertently humiliates Mei in public.

That night, Mei has a vivid nightmare involving red pandas. When she wakes up that morning, she has transformed into a large red panda. She hides from her parents and discovers that she transforms only when she is in a state of high emotion, though her hair remains red causing her to go to school in a beanie. Ming initially believes Mei is experiencing her first period, but learns the truth when she humiliates her at school, causing Mei to transform and run home in panic and tears.

Ming and Jin explain that Sun Yee was granted this transformation to protect her two daughters, and every female family member since then has also transformed when they came of age. This has become inconvenient and dangerous in modern times, so the red panda spirit must be sealed in a talisman by a ritual on the night of the Red Moon; the next being in a month's time. Mei's friends discover her transformation, but take a liking to it and Mei finds that concentrating on them helps control the red panda within her.

Ming allows Mei to resume her normal life, but refuses to let Mei attend 4*Town's upcoming concert. Instead, the girls secretly raise money for the tickets at school, exploiting the popularity of Mei's red panda form while lying to Ming. To cover the last ticket, Mei agrees to attend school bully Tyler Nguyen-Baker's birthday party as the red panda. At the party, Mei is upset to discover that the concert will be held on her ritual night instead of the following night like Abby said earlier on due to a misunderstanding. In the midst of her rage, she attacks Tyler when he insults her family, frightening the other kids. Ming discovers Mei's activities and accuses the latter's friends of corrupting and taking advantage of her. Afraid to stand up to her mother while ashamed of her actions, Mei fails to come to her friends' defense.

Mei's grandmother Wu, her aunts, and their neighbor Mr. Gao come to assist in her ritual to Ming's dismay. As Mei prepares herself, Jin finds videos she took of herself as the red panda with her friends and tells her she should not be ashamed of this side of her, but to embrace it. During the ritual as Mei's red panda form is about to be sealed, she decides to keep her powers and abandons the ritual to attend the concert at the SkyDome, where she reconciles with her friends. They discover that Tyler is also a 4*Town fan. However, an enraged Ming transforms into a kaiju-sized red panda (due to Mei inadvertently breaking her talisman during her escape from the temple) and disrupts the concert, intending to take Mei back by force.

Mei and Ming argue about the former's independence. As they quarrel, Mei accidentally knocks her mother unconscious. Wu and the aunts break their talismans to use their red panda forms to help drag Ming into a new ritual circle. Mei's friends and 4*Town join in singing to complete the ritual, sending Mei, Ming, and the other women to the astral plane. Mei reconciles with Ming and helps her mend her bond with Wu, whom Ming accidentally scarred in anger at some point before sealing her red panda form years prior and as a result couldn't move past her guilt. The other women conceal their red pandas in new talismans while Mei decides to keep hers with Ming accepting that she is finding her own path.

Later as the Lee family raises money to repair the damage caused at the SkyDome, Mei and Ming's relationship has improved as Mei balances her temple duties – where her red panda is now an attraction – with spending time with her friends, now including Tyler."
